ST,CB,PB,GO,CA,RETURN
100,0,0,0,0,5.1339
80,20,0,0,0,4.8908
80,0,20,0,0,4.1513
80,0,0,20,0,8.8879
80,0,0,0,20,2.7688
60,40,0,0,0,4.6477
60,20,20,0,0,3.9082
60,20,0,20,0,8.6449
60,20,0,0,20,2.5257
60,0,40,0,0,3.1688
60,0,20,20,0,7.9054
60,0,20,0,20,1.7862
60,0,0,40,0,12.642
60,0,0,20,20,6.5228
60,0,0,0,40,0.4037
40,60,0,0,0,4.4047
40,40,20,0,0,3.6652
40,40,0,20,0,8.4018
40,40,0,0,20,2.2826
40,20,40,0,0,2.9257
40,20,20,20,0,7.6623
40,20,20,0,20,1.5432
40,20,0,40,0,12.3989
40,20,0,20,20,6.2798
40,20,0,0,40,0.1606
40,0,60,0,0,2.1862
40,0,40,20,0,6.9228
40,0,40,0,20,0.8037
40,0,20,40,0,11.6594
40,0,20,20,20,5.5403
40,0,20,0,40,-0.5789
40,0,0,60,0,16.396
40,0,0,40,20,10.2769
40,0,0,20,40,4.1577
40,0,0,0,60,-1.9614
20,80,0,0,0,4.1616
20,60,20,0,0,3.4221
20,60,0,20,0,8.1587
20,60,0,0,20,2.0396
20,40,40,0,0,2.6826
20,40,20,20,0,7.4192
20,40,20,0,20,1.3001
20,40,0,40,0,12.1558
20,40,0,20,20,6.0367
20,40,0,0,40,-0.0824
20,20,60,0,0,1.9431
20,20,40,20,0,6.6797
20,20,40,0,20,0.5606
20,20,20,40,0,11.4164
20,20,20,20,20,5.2972
20,20,20,0,40,-0.8219
20,20,0,60,0,16.153
20,20,0,40,20,10.0338
20,20,0,20,40,3.9147
20,20,0,0,60,-2.2045
20,0,80,0,0,1.2037
20,0,60,20,0,5.9403
20,0,60,0,20,-0.1789
20,0,40,40,0,10.6769
20,0,40,20,20,4.5577
20,0,40,0,40,-1.5614
20,0,20,60,0,15.4135
20,0,20,40,20,9.2943
20,0,20,20,40,3.1752
20,0,20,0,60,-2.9439
20,0,0,80,0,20.1501
20,0,0,60,20,14.0309
20,0,0,40,40,7.9118
20,0,0,20,60,1.7927
20,0,0,0,80,-4.3265
0,100,0,0,0,3.9185
0,80,20,0,0,3.179
0,80,0,20,0,7.9157
0,80,0,0,20,1.7965
0,60,40,0,0,2.4396
0,60,20,20,0,7.1762
0,60,20,0,20,1.057
0,60,0,40,0,11.9128
0,60,0,20,20,5.7936
0,60,0,0,40,-0.3255
0,40,60,0,0,1.7001
0,40,40,20,0,6.4367
0,40,40,0,20,0.3175
0,40,20,40,0,11.1733
0,40,20,20,20,5.0541
0,40,20,0,40,-1.065
0,40,0,60,0,15.9099
0,40,0,40,20,9.7908
0,40,0,20,40,3.6716
0,40,0,0,60,-2.4475
0,20,80,0,0,0.9606
0,20,60,20,0,5.6972
0,20,60,0,20,-0.4219
0,20,40,40,0,10.4338
0,20,40,20,20,4.3147
0,20,40,0,40,-1.8045
0,20,20,60,0,15.1704
0,20,20,40,20,9.0513
0,20,20,20,40,2.9321
0,20,20,0,60,-3.187
0,20,0,80,0,19.907
0,20,0,60,20,13.7879
0,20,0,40,40,7.6687
0,20,0,20,60,1.5496
0,20,0,0,80,-4.5695
0,0,100,0,0,0.2211
0,0,80,20,0,4.9577
0,0,80,0,20,-1.1614
0,0,60,40,0,9.6943
0,0,60,20,20,3.5752
0,0,60,0,40,-2.544
0,0,40,60,0,14.4309
0,0,40,40,20,8.3118
0,0,40,20,40,2.1926
0,0,40,0,60,-3.9265
0,0,20,80,0,19.1675
0,0,20,60,20,13.0484
0,0,20,40,40,6.9292
0,0,20,20,60,0.8101
0,0,20,0,80,-5.309
0,0,0,100,0,23.9041
0,0,0,80,20,17.785
0,0,0,60,40,11.6659
0,0,0,40,60,5.5467
0,0,0,20,80,-0.5724
0,0,0,0,100,-6.6916
