ST,CB,PB,GO,CA,RETURN,VOLAT
100,0,0,0,0,5.1339,7.7646
80,20,0,0,0,4.8908,6.2505
80,0,20,0,0,4.1513,5.9092
80,0,0,20,0,8.8879,6.7146
80,0,0,0,20,2.0951,5.8232
60,40,0,0,0,4.6477,4.8419
60,20,20,0,0,3.9082,4.4664
60,20,0,20,0,8.6449,5.4336
60,20,0,0,20,1.852,4.3429
60,0,40,0,0,3.1688,4.1346
60,0,20,20,0,7.9054,5.0128
60,0,20,0,20,1.1125,4.0339
60,0,0,40,0,12.642,6.2887
60,0,0,20,20,5.8491,4.8009
60,0,0,0,40,-0.9437,3.9839
40,60,0,0,0,4.4047,3.5877
40,40,20,0,0,3.6652,3.1635
40,40,0,20,0,8.4018,4.3361
40,40,0,0,20,1.609,2.9958
40,20,40,0,0,2.9257,2.7871
40,20,20,20,0,7.6623,3.8783
40,20,20,0,20,0.8695,2.6472
40,20,0,40,0,12.3989,5.3442
40,20,0,20,20,5.6061,3.6113
40,20,0,0,40,-1.1867,2.5807
40,0,60,0,0,2.1862,2.4821
40,0,40,20,0,6.9228,3.445
40,0,40,0,20,0.13,2.3862
40,0,20,40,0,11.6594,4.8993
40,0,20,20,20,4.8666,3.1775
40,0,20,0,40,-1.9262,2.3789
40,0,0,60,0,16.396,6.4524
40,0,0,40,20,9.6032,4.6083
40,0,0,20,40,2.8104,2.9426
40,0,0,0,60,-3.9825,2.4688
20,80,0,0,0,4.1616,2.6194
20,60,20,0,0,3.4221,2.1462
20,60,0,20,0,8.1587,3.5303
20,60,0,0,20,1.3659,1.9342
20,40,40,0,0,2.6826,1.72
20,40,20,20,0,7.4192,3.0519
20,40,20,0,20,0.6264,1.5405
20,40,0,40,0,12.1558,4.6683
20,40,0,20,20,5.363,2.7384
20,40,0,0,40,-1.4298,1.4822
20,20,60,0,0,1.9431,1.3881
20,20,40,20,0,6.6797,2.5958
20,20,40,0,20,-0.1131,1.281
20,20,20,40,0,11.4164,4.2247
20,20,20,20,20,4.6235,2.2713
20,20,20,0,40,-2.1693,1.3354
20,20,0,60,0,16.153,5.8618
20,20,0,40,20,9.3601,3.9081
20,20,0,20,40,2.5673,1.9781
20,20,0,0,60,-4.2255,1.5464
20,0,80,0,0,1.2037,1.2326
20,0,60,20,0,5.9403,2.1777
20,0,60,0,20,-0.8526,1.2462
20,0,40,40,0,10.6769,3.8004
20,0,40,20,20,3.884,1.8485
20,0,40,0,40,-2.9088,1.4267
20,0,20,60,0,15.4135,5.4502
20,0,20,40,20,8.6206,3.4737
20,0,20,20,40,1.8278,1.5627
20,0,20,0,60,-4.965,1.7335
20,0,0,80,0,20.1501,7.0525
20,0,0,60,20,13.3573,5.1511
20,0,0,40,40,6.5644,3.1562
20,0,0,20,60,-0.2284,1.3594
20,0,0,0,80,-7.0212,2.1223
0,100,0,0,0,3.9185,2.2299
0,80,20,0,0,3.179,1.8175
0,80,0,20,0,7.9157,3.1767
0,80,0,0,20,1.1228,1.6438
0,60,40,0,0,2.4396,1.492
0,60,20,20,0,7.1762,2.7446
0,60,20,0,20,0.3833,1.3824
0,60,0,40,0,11.9128,4.3422
0,60,0,20,20,5.1199,2.4475
0,60,0,0,40,-1.6729,1.4162
0,40,60,0,0,1.7001,1.3225
0,40,40,20,0,6.4367,2.3521
0,40,40,0,20,-0.3561,1.3187
0,40,20,40,0,11.1733,3.9371
0,40,20,20,20,4.3805,2.0575
0,40,20,0,40,-2.4124,1.4689
0,40,0,60,0,15.9099,5.549
0,40,0,40,20,9.1171,3.6333
0,40,0,20,40,2.3242,1.8086
0,40,0,0,60,-4.4686,1.7439
0,20,80,0,0,0.9606,1.3709
0,20,60,20,0,5.6972,2.0242
0,20,60,0,20,-1.0956,1.4812
0,20,40,40,0,10.4338,3.5599
0,20,40,20,20,3.641,1.7491
0,20,40,0,40,-3.1519,1.7196
0,20,20,60,0,15.1704,5.1696
0,20,20,40,20,8.3776,3.2527
0,20,20,20,40,1.5848,1.5409
0,20,20,0,60,-5.2081,2.0509
0,20,0,80,0,19.907,6.7445
0,20,0,60,20,13.1142,4.8811
0,20,0,40,40,6.3214,2.9602
0,20,0,20,60,-0.4715,1.4396
0,20,0,0,80,-7.2643,2.4459
0,0,100,0,0,0.2211,1.6204
0,0,80,20,0,4.9577,1.7986
0,0,80,0,20,-1.8351,1.8122
0,0,60,40,0,9.6943,3.2217
0,0,60,20,20,2.9015,1.5735
0,0,60,0,40,-3.8913,2.1005
0,0,40,60,0,14.4309,4.8121
0,0,40,40,20,7.6381,2.917
0,0,40,20,40,0.8453,1.4446
0,0,40,0,60,-5.9476,2.4595
0,0,20,80,0,19.1675,6.3861
0,0,20,60,20,12.3747,4.5201
0,0,20,40,40,5.5819,2.6322
0,0,20,20,60,-1.211,1.4488
0,0,20,0,80,-8.0038,2.8699
0,0,0,100,0,23.9041,7.9109
0,0,0,80,20,17.1113,6.1171
0,0,0,60,40,10.3185,4.2345
0,0,0,40,60,3.5257,2.3796
0,0,0,20,80,-3.2672,1.5958
0,0,0,0,100,-10.06,3.3198
